TIME, 1-REF
000:00:20.575,5.27
000:00:20.600,8.85
000:00:20.625,10.08
000:00:20.650,12.98
000:00:20.675,6.26
000:00:20.700,-3.21
000:00:20.725,4.58
000:00:20.750,32.67
000:00:20.775,32.14
000:00:20.800,12.14
000:00:20.825,6.11
000:00:20.850,11.83
000:00:20.875,11.83
000:00:20.900,4.43
000:00:20.925,-4.81
000:00:20.950,6.11
000:00:20.975,6.49
000:00:21.000,2.21
000:00:21.025,7.25
000:00:21.050,20.76
000:00:21.075,17.1
000:00:21.100,11.45
000:00:21.125,-1.45
000:00:21.150,-11.37
000:00:21.175,-6.64
000:00:21.200,5.19
000:00:21.225,12.37
000:00:21.250,2.98
000:00:21.275,-13.36
000:00:21.300,-19.92
000:00:21.325,-6.79
000:00:21.350,12.06
000:00:21.375,6.26
000:00:21.400,-13.97
000:00:21.425,-11.83
000:00:21.450,-7.18
000:00:21.475,-4.05
000:00:21.500,-3.66
000:00:21.525,8.4
000:00:21.550,18.4
000:00:21.575,4.73
000:00:21.600,-15.73
000:00:21.625,-25.5
000:00:21.650,-9.85
000:00:21.675,21.3
000:00:21.700,15.57
000:00:21.725,-10.84
000:00:21.750,-18.17
000:00:21.775,-10.31
000:00:21.800,1.45
000:00:21.825,12.9
000:00:21.850,13.89
000:00:21.875,-0.92
000:00:21.900,-20.08
000:00:21.925,-17.4
000:00:21.950,11.45
000:00:21.975,8.55
000:00:22.000,-10.53
000:00:22.025,-4.58
000:00:22.050,10.99
000:00:22.075,26.87
000:00:22.100,15.34
000:00:22.125,0.0
000:00:22.150,-0.23
000:00:22.175,-5.11
000:00:22.200,-3.44
000:00:22.225,6.34
000:00:22.250,20.38
000:00:22.275,15.11
000:00:22.300,-7.94
000:00:22.325,-11.91
000:00:22.350,9.01
000:00:22.375,16.64
000:00:22.400,3.21
000:00:22.425,-10.08
000:00:22.450,-0.53
000:00:22.475,-3.13
000:00:22.500,-8.63
000:00:22.525,-2.67
000:00:22.550,14.66
000:00:22.575,21.3
000:00:22.600,-2.9
000:00:22.625,-4.73
000:00:22.650,15.57
000:00:22.675,6.95
000:00:22.700,-17.1
000:00:22.725,-19.24
000:00:22.750,-8.47
000:00:22.775,-1.83
000:00:22.800,-10.15
000:00:22.825,-8.93
000:00:22.850,10.15
000:00:22.875,6.18
000:00:22.900,-10.46
000:00:22.925,-5.95
000:00:22.950,15.57
000:00:22.975,13.97
000:00:23.000,-10.46
000:00:23.025,-13.05
000:00:23.050,13.66
000:00:23.075,22.98
000:00:23.100,-4.35
000:00:23.125,-24.12
000:00:23.150,-14.58
000:00:23.175,-4.27
000:00:23.200,0.53
000:00:23.225,4.27
000:00:23.250,11.3
000:00:23.275,7.63
000:00:23.300,-8.7
000:00:23.325,-24.73
000:00:23.350,-10.69
000:00:23.375,6.95
000:00:23.400,-1.76
000:00:23.425,-8.17
000:00:23.450,-0.84
000:00:23.475,-4.58
000:00:23.500,-7.48
000:00:23.525,0.46
000:00:23.550,10.69
000:00:23.575,8.24
000:00:23.600,4.12
000:00:23.625,0.15
000:00:23.650,5.8
000:00:23.675,0.69
000:00:23.700,-12.44
000:00:23.725,-12.52
000:00:23.750,-5.42
000:00:23.775,-5.88
000:00:23.800,-6.18
000:00:23.825,-3.66
000:00:23.850,-5.27
000:00:23.875,0.08
000:00:23.900,6.34
000:00:23.925,2.37
000:00:23.950,-1.76
000:00:23.975,-4.43
000:00:24.000,-13.82
000:00:24.025,-22.52
000:00:24.050,-22.82
000:00:24.075,-13.97
000:00:24.100,-18.55
000:00:24.125,-25.8
000:00:24.150,-14.89
000:00:24.175,5.19
000:00:24.200,10.84
000:00:24.225,2.67
000:00:24.250,-4.12
000:00:24.275,6.72
000:00:24.300,17.33
000:00:24.325,20.08
000:00:24.350,8.93
000:00:24.375,6.79
000:00:24.400,18.24
000:00:24.425,20.38
000:00:24.450,14.89
000:00:24.475,26.03
000:00:24.500,28.93
000:00:24.525,25.8
000:00:24.550,25.11
000:00:24.575,16.41
000:00:24.600,7.71
000:00:24.625,17.63
000:00:24.650,33.36
000:00:24.675,34.27
000:00:24.700,11.98
000:00:24.725,3.21
000:00:24.750,-8.32
000:00:24.775,-11.83
000:00:24.800,0.15
000:00:24.825,7.02
000:00:24.850,-4.35
000:00:24.875,-14.05
000:00:24.900,-18.09
000:00:24.925,-16.34
000:00:24.950,-12.67
000:00:24.975,5.42
000:00:25.000,6.26
000:00:25.025,-10.69
000:00:25.050,-11.37
000:00:25.075,-3.82
000:00:25.100,2.06
000:00:25.125,-1.68
000:00:25.150,-29.47
000:00:25.175,-41.45
000:00:25.200,-33.82
000:00:25.225,-20.53
000:00:25.250,-8.09
000:00:25.275,7.63
000:00:25.300,0.46
000:00:25.325,-14.73
000:00:25.350,-23.82
000:00:25.375,-9.77
000:00:25.400,4.73
000:00:25.425,5.42
000:00:25.450,4.5
000:00:25.475,10.92
000:00:25.500,19.01
000:00:25.525,13.89
000:00:25.550,8.55
000:00:25.575,20.84
000:00:25.600,16.95
000:00:25.625,17.48
000:00:25.650,11.98
000:00:25.675,22.67
000:00:25.700,22.37
000:00:25.725,4.2
000:00:25.750,-8.7
000:00:25.775,-1.07
000:00:25.800,11.22
000:00:25.825,16.72
000:00:25.850,13.59
000:00:25.875,-4.35
000:00:25.900,-18.24
000:00:25.925,-3.59
000:00:25.950,5.73
000:00:25.975,6.72
000:00:26.000,-4.66
000:00:26.025,-20.46
000:00:26.050,-18.09
000:00:26.075,0.08
000:00:26.100,21.6
000:00:26.125,8.4
000:00:26.150,-15.65
000:00:26.175,-17.25
000:00:26.200,-1.83
000:00:26.225,4.89
000:00:26.250,12.6
000:00:26.275,17.71
000:00:26.300,12.44
000:00:26.325,13.21
000:00:26.350,1.68
000:00:26.375,-1.76
000:00:26.400,11.45
000:00:26.425,22.75
000:00:26.450,9.69
000:00:26.475,-1.45
000:00:26.500,-0.99
000:00:26.525,-5.27
000:00:26.550,-5.95
000:00:26.575,14.27
000:00:26.600,29.54
000:00:26.625,26.41
000:00:26.650,-6.03
000:00:26.675,-23.97
000:00:26.700,-4.2
000:00:26.725,15.42
000:00:26.750,1.91
000:00:26.775,-12.67
000:00:26.800,-8.55
000:00:26.825,4.2
000:00:26.850,-2.21
000:00:26.875,-5.42
000:00:26.900,8.09
000:00:26.925,14.66
000:00:26.950,-4.73
000:00:26.975,-22.21
000:00:27.000,-16.64
000:00:27.025,-6.64
000:00:27.050,-3.82
000:00:27.075,-4.27
000:00:27.100,-4.73
000:00:27.125,2.9
000:00:27.150,-16.26
000:00:27.175,-16.11
000:00:27.200,9.24
000:00:27.225,22.52
000:00:27.250,5.65
000:00:27.275,-11.3
000:00:27.300,-9.31
000:00:27.325,-0.61
000:00:27.350,1.68
000:00:27.375,-5.34
000:00:27.400,-7.94
000:00:27.425,4.2
000:00:27.450,3.36
000:00:27.475,-7.1
000:00:27.500,-19.24
000:00:27.525,-11.98
000:00:27.550,-3.97
000:00:27.575,-13.82
000:00:27.600,-11.83
000:00:27.625,3.66
000:00:27.650,1.91
000:00:27.675,-1.45
000:00:27.700,-0.31
000:00:27.725,15.27
000:00:27.750,2.9
000:00:27.775,-13.82
000:00:27.800,-16.18
000:00:27.825,-5.5
000:00:27.850,-6.49
000:00:27.875,-15.42
000:00:27.900,-19.39
